Name,Season,G,GS,GS/G,IP,ERA,Zone%,GB%,K%,BB%
"Stanek, Ryne",2018,59,29,0.4915254237,66.1,2.98,41.90%,32.70%,30.80%,10.30%
"Stanek, Ryne",2019,63,27,0.4285714286,77,3.97,38.80%,31.80%,27.20%,11.90%
"Keller, Brad",2018,41,20,0.487804878,140.1,3.08,40.80%,54.40%,16.50%,8.60%
"Espino, Paolo",2022,42,19,0.4523809524,113.1,4.84,42.30%,39.10%,18.90%,4.90%
"Hammel, Jason",2018,39,18,0.4615384615,127,6.02,44.80%,37.10%,15.80%,6.70%
"Pomeranz, Drew",2019,46,18,0.3913043478,104,4.85,43.50%,39.00%,30.10%,9.70%
"López, Jorge",2019,39,18,0.4615384615,123.2,6.33,41.40%,46.40%,19.90%,7.70%
"Font, Wilmer",2019,48,17,0.3541666667,84.1,4.48,44.40%,36.80%,26.70%,8.10%
"Voth, Austin",2022,41,17,0.4146341463,101.2,4.34,42.60%,34.50%,20.40%,7.00%
"Strahm, Matt",2019,46,16,0.347826087,114.2,4.71,49.30%,36.60%,24.20%,4.50%
"Pivetta, Nick",2023,38,16,0.4210526316,142.2,4.04,42.10%,36.40%,31.20%,8.50%
"Green, Chad",2019,54,15,0.2777777778,69,4.17,45.30%,35.50%,33.20%,6.40%
"Stripling, Ross",2019,32,15,0.46875,90.2,3.47,42.70%,50.20%,25.10%,5.40%
"Alexander, Tyler",2021,41,15,0.3658536585,106.1,3.81,42.60%,37.90%,19.30%,6.20%
"Sampson, Adrian",2019,35,15,0.4285714286,125.1,5.89,42.60%,40.20%,17.90%,6.40%
"García, Jaime",2018,33,14,0.4242424242,82,5.82,41.10%,43.00%,19.80%,11.90%
"Seabold, Connor",2023,27,13,0.4814814815,87.1,7.52,46.00%,33.40%,16.40%,6.90%
"Blach, Ty",2018,47,13,0.2765957447,118.2,4.25,44.10%,54.00%,14.60%,8.00%
"Hardy, Blaine",2018,30,13,0.4333333333,86,3.56,43.40%,42.00%,18.80%,6.30%
"Pivetta, Nick",2019,30,13,0.4333333333,93.2,5.38,43.20%,43.30%,21.10%,9.30%
"Smith, Caleb",2021,45,13,0.2888888889,113.2,4.83,42.60%,28.10%,24.80%,12.60%
"Ynoa, Gabriel",2019,36,13,0.3611111111,110.2,5.61,42.60%,46.70%,14.00%,5.40%
"Hearn, Taylor",2022,31,13,0.4193548387,100,5.13,42.10%,37.60%,21.60%,9.60%
"Walker, Ryan",2023,49,13,0.2653061224,61.1,3.23,41.80%,41.40%,29.70%,9.10%
"Johnson, Brian",2018,38,13,0.3421052632,99.1,4.17,41.10%,37.30%,20.00%,8.80%
"Montgomery, Mike",2019,33,13,0.3939393939,91,4.95,35.80%,49.00%,17.20%,8.50%
"Moore, Matt",2018,39,12,0.3076923077,102,6.79,47.40%,37.70%,18.30%,8.70%
"Erlin, Robbie",2018,39,12,0.3076923077,109,4.21,45.70%,46.70%,20.00%,2.70%
"Wood, Alex",2023,29,12,0.4137931034,97.2,4.33,41.30%,45.00%,17.20%,9.80%
"Ragans, Cole",2023,29,12,0.4137931034,96,3.47,40.90%,44.00%,28.80%,10.50%
"Suárez, Ranger",2021,39,12,0.3076923077,106,1.36,39.50%,59.20%,25.60%,7.90%
"Hentges, Sam",2021,30,12,0.4,68.2,6.68,39.20%,45.80%,21.40%,10.10%
"Price, David",2021,39,11,0.2820512821,73.2,4.03,47.90%,50.40%,17.80%,8.00%
"Hearn, Taylor",2021,42,11,0.2619047619,104.1,4.66,46.00%,39.40%,20.90%,9.50%
"Glasnow, Tyler",2018,45,11,0.2444444444,111.2,4.27,45.40%,49.80%,29.10%,11.30%
"Castillo, Diego",2018,43,11,0.2558139535,56.2,3.18,44.90%,45.30%,29.30%,8.10%
"Gomber, Austin",2018,29,11,0.3793103448,75,4.44,44.90%,38.10%,20.10%,9.60%
"Wesneski, Hayden",2023,34,11,0.3235294118,89.1,4.63,44.40%,40.20%,21.90%,8.40%
"Brebbia, John",2022,76,11,0.1447368421,68,3.18,44.30%,36.30%,18.80%,6.30%
"Cahill, Trevor",2019,37,11,0.2972972973,102.1,5.98,44.30%,45.90%,17.80%,8.60%
"Lambert, Peter",2023,25,11,0.44,87.1,5.36,42.40%,41.70%,18.90%,7.50%
"Hernández, Carlos",2021,24,11,0.4583333333,85.2,3.68,41.50%,39.50%,20.70%,11.50%
"Pomeranz, Drew",2018,26,11,0.4230769231,74,6.08,39.70%,37.10%,19.20%,12.80%
"Hoffman, Jeff",2021,31,11,0.3548387097,73,4.56,39.50%,37.70%,23.60%,13.40%
"Scholtens, Jesse",2023,26,11,0.4230769231,85,5.29,38.70%,41.30%,15.40%,8.00%
"Fleming, Josh",2021,26,11,0.4230769231,104.1,5.09,35.90%,55.70%,14.50%,6.90%
"Strahm, Matt",2023,56,10,0.1785714286,87.2,3.29,47.60%,33.00%,30.80%,6.00%
"Whitlock, Garrett",2023,22,10,0.4545454545,71.2,5.15,45.70%,44.20%,23.70%,4.30%
"Manaea, Sean",2023,37,10,0.2702702703,117.2,4.44,44.80%,40.90%,25.70%,8.40%
"Pallante, Andre",2022,47,10,0.2127659574,108,3.17,44.00%,63.90%,16.00%,8.80%
"Rasmussen, Drew",2021,35,10,0.2857142857,76,2.84,43.30%,47.30%,23.80%,8.10%
"Cessa, Luis",2022,46,10,0.2173913043,80.2,4.57,42.00%,48.80%,17.60%,8.30%
"Assad, Javier",2023,32,10,0.3125,109.1,3.05,41.20%,46.90%,20.90%,9.10%
"Martinez, Nick",2022,47,10,0.2127659574,106.1,3.47,38.80%,47.40%,21.20%,9.20%
"Quintana, Jose",2021,29,10,0.3448275862,63,6.43,37.20%,46.60%,28.60%,11.80%
"Whitlock, Garrett",2022,31,9,0.2903225806,78.1,3.45,46.70%,40.80%,26.40%,4.80%
"Curry, Xzavion",2023,41,9,0.2195121951,95,4.07,44.80%,31.70%,16.60%,7.40%
"Chirinos, Yonny",2023,20,9,0.45,85,5.4,44.80%,45.60%,14.40%,7.40%
"Yarbrough, Ryan",2023,25,9,0.36,89.2,4.52,44.40%,39.10%,17.80%,3.70%
"Yarbrough, Ryan",2022,20,9,0.45,80,4.5,43.70%,37.90%,17.20%,6.20%
"López, Reynaldo",2021,20,9,0.45,57.2,3.43,43.60%,39.00%,24.80%,5.90%
"Tomlin, Josh",2018,32,9,0.28125,70.1,6.14,43.50%,30.60%,14.30%,3.70%
"Velasquez, Vince",2022,27,9,0.3333333333,75.1,4.78,43.30%,35.70%,21.60%,7.80%
"Thompson, Zack",2023,25,9,0.36,66.1,4.48,42.80%,44.00%,25.10%,8.70%
"Lamet, Dinelson",2021,22,9,0.4090909091,47,4.4,41.30%,38.60%,27.30%,10.50%
"Steele, Justin",2021,20,9,0.45,57,4.26,41.20%,50.30%,23.80%,10.90%
"King, Michael",2023,49,9,0.1836734694,104.2,2.75,40.30%,42.80%,29.50%,7.40%
"Chavez, Jesse",2019,48,9,0.1875,78,4.85,40.20%,41.50%,21.40%,6.50%
"Godley, Zack",2019,33,9,0.2727272727,92,5.97,39.80%,43.00%,17.20%,10.30%
"Martinez, Nick",2023,63,9,0.1428571429,110.1,3.43,39.70%,53.80%,23.00%,8.70%
"Williams, Trevor",2022,30,9,0.3,89.2,3.21,39.20%,36.20%,22.60%,6.20%
"Javier, Cristian",2021,36,9,0.25,101.1,3.55,38.90%,27.60%,30.70%,12.50%
"Ross, Joe",2019,27,9,0.3333333333,64,5.48,38.80%,44.40%,19.30%,11.20%
"Miller, Shelby",2019,19,8,0.4210526316,44,8.59,47.60%,41.40%,13.60%,13.20%
"Alexander, Scott",2023,55,8,0.1454545455,48.1,4.66,46.50%,60.70%,14.90%,5.30%
"Swanson, Erik",2019,27,8,0.2962962963,58,5.74,46.30%,37.90%,21.20%,4.90%
"Lyles, Jordan",2018,35,8,0.2285714286,87.2,4.11,44.90%,45.60%,22.60%,7.50%
"Peralta, Freddy",2019,39,8,0.2051282051,85,5.29,44.60%,32.00%,30.10%,9.70%
"Peacock, Matt",2021,35,8,0.2285714286,86.1,4.9,44.50%,59.20%,13.00%,7.30%
"Oviedo, Johan",2022,21,8,0.380952381,56,3.21,44.30%,49.40%,22.30%,9.50%
"Bradford, Cody",2023,20,8,0.4,56,5.3,44.10%,32.10%,21.80%,5.10%
"Beeks, Jalen",2023,30,8,0.2666666667,42.1,5.95,43.80%,45.10%,24.50%,10.90%
"McHugh, Collin",2019,35,8,0.2285714286,74.2,4.7,43.60%,38.00%,25.90%,9.50%
"Woodford, Jake",2021,26,8,0.3076923077,67.2,3.99,42.60%,41.30%,17.10%,8.50%
"Hicks, Jordan",2022,35,8,0.2285714286,61.1,4.84,42.50%,57.60%,24.00%,13.30%
"Valdez, Framber",2019,26,8,0.3076923077,70.2,5.86,42.40%,62.10%,20.70%,13.40%
"Velázquez, Hector",2018,47,8,0.170212766,85,3.18,42.10%,49.80%,14.30%,7.00%
"Wood, Hunter",2018,29,8,0.275862069,41,3.73,41.80%,44.40%,23.50%,10.10%
"LeBlanc, Wade",2019,26,8,0.3076923077,121.1,5.71,41.00%,40.00%,17.30%,5.80%
"Holland, Derek",2019,51,8,0.1568627451,84.1,6.08,40.70%,40.50%,21.80%,12.00%
"Hill, Garrett",2022,17,8,0.4705882353,60.1,4.03,39.90%,36.50%,15.20%,11.00%
"Wisler, Matt",2019,44,8,0.1818181818,51.1,5.61,39.70%,36.40%,28.10%,7.10%
"Urías, Julio",2019,37,8,0.2162162162,79.2,2.49,39.40%,38.70%,26.10%,8.30%
"Velázquez, Hector",2019,34,8,0.2352941176,56.1,5.43,39.30%,38.60%,19.90%,11.40%
"Marsh, Alec",2023,17,8,0.4705882353,74.1,5.69,38.60%,34.60%,24.90%,11.40%
"Soto, Gregory",2019,33,7,0.2121212121,57.2,5.77,46.70%,47.70%,16.30%,12.00%
"McHugh, Collin",2021,37,7,0.1891891892,64,1.55,46.50%,44.20%,30.00%,4.90%
"Ferguson, Caleb",2023,68,7,0.1029411765,60.1,3.43,45.10%,49.10%,25.90%,8.50%
"Chirinos, Yonny",2018,18,7,0.3888888889,89.2,3.51,45.10%,43.70%,20.30%,6.80%
"Santiago, Héctor",2018,49,7,0.1428571429,102,4.41,44.30%,33.30%,22.40%,13.00%
"López, Jorge",2018,17,7,0.4117647059,53.2,5.03,43.80%,45.30%,16.20%,9.40%
"Bedrosian, Cam",2019,59,7,0.1186440678,61.1,3.23,43.50%,47.60%,24.80%,8.50%
"Ramirez, Noé",2019,51,7,0.137254902,67.2,3.99,43.50%,38.90%,28.20%,7.10%
"García, Jarlín",2018,29,7,0.2413793103,66,4.91,42.90%,43.10%,14.40%,10.10%
"Jackson, Andre",2023,19,7,0.3684210526,61.1,4.99,42.90%,36.40%,22.20%,8.60%
"Fujinami, Shintaro",2023,64,7,0.109375,79,7.18,42.00%,40.10%,23.20%,12.60%
"Peña, Félix",2019,22,7,0.3181818182,96.1,4.58,41.70%,42.40%,24.80%,8.40%
"Reed, Cody",2018,17,7,0.4117647059,43,3.98,41.40%,61.40%,22.30%,8.00%
"Johnson, Brian",2019,21,7,0.3333333333,40.1,6.02,40.90%,41.90%,16.10%,11.90%
"Beeks, Jalen",2022,42,7,0.1666666667,61,2.8,39.50%,45.80%,28.00%,8.80%
"Hoeing, Bryan",2023,33,7,0.2121212121,70.2,5.48,39.50%,45.10%,17.40%,8.20%
"Pannone, Thomas",2019,37,7,0.1891891892,73,6.16,39.40%,32.90%,21.20%,9.50%
"Blanco, Ronel",2023,17,7,0.4117647059,52,4.5,39.20%,34.70%,23.00%,12.40%
"Hernández, Carlos",2022,27,7,0.2592592593,56,7.39,39.10%,38.10%,13.20%,11.70%
"Kittredge, Andrew",2019,37,7,0.1891891892,49.2,4.17,38.30%,50.00%,27.60%,5.70%
"Harris, Hogan",2023,14,6,0.4285714286,63,7.14,49.60%,39.70%,19.70%,9.90%
"Smith, Riley",2021,24,6,0.25,67.1,6.01,48.70%,43.20%,12.00%,5.00%
"Long, Sam",2022,28,6,0.2142857143,42.1,3.61,46.30%,39.20%,18.20%,7.70%
"Bernardino, Brennan",2023,55,6,0.1090909091,50.2,3.2,45.70%,50.40%,26.90%,8.30%
"King, Michael",2021,22,6,0.2727272727,63.1,3.55,45.40%,45.30%,22.50%,8.70%
"Smith, Burch",2018,38,6,0.1578947368,78,6.92,45.20%,40.30%,21.50%,11.20%
"Castillo, Diego",2019,65,6,0.09230769231,68.2,3.41,45.00%,56.90%,27.90%,9.00%
"Hernández, Elieser",2018,32,6,0.1875,65.2,5.21,45.00%,27.90%,15.80%,9.50%
"Yarbrough, Ryan",2018,38,6,0.1578947368,147.1,3.91,44.40%,38.00%,20.40%,8.00%
"Bush, Matt",2022,65,6,0.09230769231,59.2,3.47,44.10%,40.10%,30.30%,7.40%
"Armstrong, Shawn",2023,39,6,0.1538461538,52,1.38,43.70%,38.40%,26.10%,5.30%
"Thompson, Keegan",2021,32,6,0.1875,53.1,3.38,43.70%,43.00%,22.60%,12.80%
"Barria, Jaime",2023,34,6,0.1764705882,82.1,5.68,42.40%,36.30%,17.10%,8.30%
"Dobnak, Randy",2021,14,6,0.4285714286,50.2,7.64,42.00%,55.40%,11.80%,5.30%
"Avila, Pedro",2023,14,6,0.4285714286,50.1,3.22,41.00%,58.80%,24.50%,11.40%
"Pruitt, Austin",2023,38,6,0.1578947368,48.1,2.98,39.50%,36.20%,15.30%,6.10%
"Cole, Taylor",2019,38,6,0.1578947368,51.2,5.92,39.20%,48.40%,21.60%,10.40%
"Bibens-Dirkx, Austin",2018,13,6,0.4615384615,45,6.2,38.80%,34.90%,16.30%,6.90%
"Milone, Tommy",2019,23,6,0.2608695652,111.2,4.76,37.30%,36.70%,20.80%,5.10%
"Strahm, Matt",2018,41,5,0.1219512195,61.1,2.05,47.30%,34.90%,28.20%,8.60%
"Lugo, Seth",2018,54,5,0.09259259259,101.1,2.66,45.80%,46.50%,25.10%,6.80%
"Long, Sam",2021,12,5,0.4166666667,40.2,5.53,45.20%,39.20%,21.60%,8.50%
"Font, Wilmer",2018,19,5,0.2631578947,44,5.93,44.70%,43.20%,18.80%,8.30%
"Wisler, Matt",2022,39,5,0.1282051282,44,2.25,44.20%,24.80%,19.90%,8.00%
"Andriese, Matt",2018,41,5,0.1219512195,78.2,5.26,43.10%,48.70%,22.90%,7.40%
"Stratton, Chris",2019,35,5,0.1428571429,76,5.57,42.90%,39.70%,20.10%,9.60%
"Detwiler, Ross",2021,53,5,0.09433962264,52.1,4.64,41.60%,39.90%,27.10%,8.70%
"Chargois, JT",2023,46,5,0.1086956522,42.1,3.61,41.30%,54.60%,20.10%,10.30%
"Brault, Steven",2018,45,5,0.1111111111,91.2,4.61,41.20%,48.10%,19.90%,13.80%
"Hutchison, Drew",2018,16,5,0.3125,42.2,6.75,41.10%,40.90%,15.60%,13.10%
"Cessa, Luis",2018,16,5,0.3125,44.2,5.24,40.80%,46.80%,20.00%,6.70%
"Brash, Matt",2022,39,5,0.1282051282,50.2,4.44,40.50%,51.60%,27.90%,14.90%
"Chatwood, Tyler",2019,38,5,0.1315789474,76.2,3.76,39.50%,51.50%,22.80%,11.40%
"Beede, Tyler",2022,31,5,0.1612903226,61.1,5.14,37.80%,48.10%,13.70%,10.20%
"Romo, Sergio",2018,73,5,0.06849315068,67.1,4.14,37.70%,36.40%,26.40%,7.00%
"VerHagen, Drew",2019,22,4,0.1818181818,58,5.9,46.70%,51.10%,19.80%,8.90%
"Woodruff, Brandon",2018,19,4,0.2105263158,42.1,3.61,45.90%,53.10%,26.70%,8.00%
"Kopech, Michael",2021,44,4,0.09090909091,69.1,3.5,45.80%,37.70%,36.10%,8.40%
"White, Mitch",2021,21,4,0.1904761905,46.2,3.66,45.40%,47.70%,24.90%,8.60%
"Vest, Will",2023,48,4,0.08333333333,48.1,2.98,44.50%,45.00%,28.10%,6.50%
"Wright, Steven",2018,20,4,0.2,53.2,2.68,43.10%,51.30%,18.80%,11.70%
"Newcomb, Sean",2019,55,4,0.07272727273,68.1,3.16,43.10%,49.00%,22.20%,9.90%
"Burnes, Corbin",2019,32,4,0.125,49,8.82,43.10%,45.10%,29.80%,8.50%
"Hernández, Carlos",2023,67,4,0.05970149254,70,5.27,43.00%,32.10%,25.70%,10.30%
"Junis, Jakob",2023,40,4,0.1,86,3.87,42.80%,43.20%,26.20%,5.70%
"Elías, Roenis",2018,23,4,0.1739130435,51,2.65,42.60%,34.20%,16.20%,7.60%
"Biagini, Joe",2018,50,4,0.08,72,6,41.00%,47.90%,16.20%,7.30%
"Kittredge, Andrew",2021,57,4,0.0701754386,71.2,1.88,40.90%,53.50%,27.30%,5.30%
"Stammen, Craig",2021,67,4,0.05970149254,88.1,3.06,40.50%,54.90%,23.40%,3.70%
"Fulmer, Michael",2021,52,4,0.07692307692,69.2,2.97,39.50%,45.20%,24.60%,6.70%
"Kingham, Nick",2019,25,4,0.16,55.2,7.28,39.50%,41.20%,17.80%,9.70%
"Law, Derek",2019,58,4,0.06896551724,60.2,4.9,39.40%,50.00%,23.50%,14.00%
"Leone, Dominic",2021,57,4,0.0701754386,53.2,1.51,38.20%,47.50%,22.80%,10.00%
"Leiter Jr., Mark",2022,35,4,0.1142857143,67.2,3.99,38.10%,48.90%,25.90%,8.90%
"Sanmartin, Reiver",2022,45,4,0.08888888889,57,6.32,38.10%,54.50%,18.40%,11.30%
"Santillan, Tony",2021,26,4,0.1538461538,43.1,2.91,37.70%,33.00%,29.50%,11.10%
"Houck, Tanner",2022,32,4,0.125,60,3.15,37.40%,50.90%,22.70%,8.90%
"Yacabonis, Jimmy",2019,29,4,0.1379310345,41,6.8,36.60%,35.80%,17.10%,12.40%
"Sims, Lucas",2019,24,4,0.1666666667,43,4.6,36.50%,24.70%,32.20%,10.70%
"Richards, Trevor",2022,62,4,0.06451612903,64,5.34,31.50%,34.00%,29.20%,12.50%
"Ferguson, Caleb",2018,29,3,0.1034482759,49,3.49,49.60%,45.20%,29.20%,5.90%
"Armstrong, Shawn",2022,50,3,0.06,61.2,4.38,48.10%,47.50%,24.50%,6.30%
"Lorenzen, Michael",2018,45,3,0.06666666667,81,3.11,46.60%,50.20%,15.70%,9.90%
"Bird, Jake",2023,70,3,0.04285714286,89.1,4.33,46.60%,53.00%,20.20%,7.10%
"Wisler, Matt",2018,18,3,0.1666666667,40,4.28,46.00%,32.50%,19.30%,4.20%
"Zerpa, Angel",2023,15,3,0.2,42.2,4.85,46.00%,50.80%,19.80%,4.40%
"Banks, Tanner",2023,32,3,0.09375,61,4.43,44.50%,37.20%,20.00%,6.30%
"Bettis, Chad",2019,39,3,0.07692307692,63.2,6.08,44.20%,60.80%,14.60%,7.30%
"Bard, Luke",2019,32,3,0.09375,49,4.78,44.00%,35.50%,20.10%,6.50%
"Jameson, Drey",2023,15,3,0.2,40.2,3.32,43.50%,45.80%,21.30%,10.30%
"Schmidt, Clarke",2022,29,3,0.1034482759,57.2,3.12,43.20%,42.10%,23.70%,9.70%
"Beck, Tristan",2023,33,3,0.09090909091,85,3.92,43.00%,40.80%,19.20%,5.90%
"Irvin, Cole",2019,16,3,0.1875,41.2,5.83,42.90%,34.40%,17.10%,7.20%
"Pepiot, Ryan",2023,8,3,0.375,42,2.14,42.40%,36.70%,23.90%,3.10%
"Clippard, Tyler",2019,53,3,0.05660377358,62,2.9,41.80%,31.60%,26.60%,6.20%
"Weber, Ryan",2019,18,3,0.1666666667,40.2,5.09,41.80%,48.60%,16.00%,4.40%
"Beeks, Jalen",2019,33,3,0.09090909091,104.1,4.31,41.60%,45.60%,19.20%,8.60%
"Sánchez, Cristopher",2022,15,3,0.2,40,5.63,41.50%,54.20%,19.80%,9.60%
"Mayers, Mike",2022,24,3,0.125,50.2,5.68,41.10%,38.00%,20.20%,8.10%
"Law, Derek",2023,54,3,0.05555555556,55,3.6,40.10%,39.50%,18.80%,10.80%
"Thornton, Trent",2021,37,3,0.08108108108,49,4.78,40.10%,39.90%,24.10%,7.40%
"Leclerc, José",2019,70,3,0.04285714286,68.2,4.33,39.60%,34.90%,33.40%,13.00%
"Davis, Austin",2022,52,3,0.05769230769,56,5.79,39.20%,33.50%,24.20%,12.50%
"Hamilton, Ian",2023,39,3,0.07692307692,58,2.64,38.70%,55.30%,28.90%,10.90%
"Norris, Daniel",2022,41,3,0.07317073171,58.2,5.22,37.80%,46.90%,26.40%,11.60%
"Fleming, Josh",2023,12,3,0.25,51.2,4.7,36.00%,59.70%,11.30%,8.60%
"Richards, Trevor",2023,56,3,0.05357142857,72.2,4.95,33.10%,32.00%,33.30%,11.10%
"Borucki, Ryan",2023,38,2,0.05263157895,40.1,2.45,47.80%,46.80%,21.70%,2.60%
"Martin, Brett",2019,51,2,0.03921568627,62.1,4.76,47.10%,53.80%,22.10%,6.40%
"Ferguson, Caleb",2019,46,2,0.04347826087,44.2,4.84,46.40%,38.60%,26.50%,13.20%
"Loup, Aaron",2021,65,2,0.03076923077,56.2,0.95,45.90%,50.40%,26.10%,7.30%
"Ramírez, Erasmo",2022,60,2,0.03333333333,86.1,2.92,45.90%,45.20%,17.60%,4.00%
"Curtiss, John",2021,41,2,0.0487804878,44.1,3.45,45.40%,40.30%,23.50%,6.40%
"Ramírez, Erasmo",2023,38,2,0.05263157895,60.1,6.41,45.40%,43.40%,15.70%,4.70%
"Hendriks, Liam",2019,75,2,0.02666666667,85,1.8,44.30%,31.30%,37.30%,6.30%
"Díaz, Miguel",2021,25,2,0.08,42,3.64,43.60%,41.50%,26.70%,11.00%
"Coonrod, Sam",2021,42,2,0.04761904762,42.1,4.04,43.40%,57.10%,25.90%,8.10%
"Nelson, Kyle",2023,68,2,0.02941176471,56,4.18,43.40%,37.10%,28.00%,5.90%
"Nance, Tommy",2022,35,2,0.05714285714,43.2,4.33,43.30%,46.40%,29.10%,10.70%
"Shaw, Bryan",2022,60,2,0.03333333333,58.1,5.4,43.20%,49.70%,19.90%,10.00%
"Wright Jr., Mike",2018,48,2,0.04166666667,84.1,5.55,43.10%,35.40%,19.10%,9.30%
"Littell, Zack",2021,63,2,0.03174603175,61.2,2.92,42.90%,46.90%,25.00%,9.50%
"Vest, Will",2022,59,2,0.03389830508,63,4,42.80%,49.70%,23.20%,8.10%
"Okert, Steven",2023,64,2,0.03125,58.2,4.45,42.40%,23.60%,29.60%,9.70%
"White, Brendan",2023,33,2,0.06060606061,40.2,5.09,42.10%,51.80%,24.90%,8.50%
"Gearrin, Cory",2019,66,2,0.0303030303,55.1,4.07,41.70%,44.80%,19.50%,10.40%
"Johnson, Pierce",2021,63,2,0.03174603175,58.2,3.22,41.50%,34.10%,31.60%,11.10%
"Schreiber, John",2023,46,2,0.04347826087,46.2,3.86,41.50%,42.00%,26.00%,12.30%
"Baker, Bryan",2022,66,2,0.0303030303,69.2,3.49,41.40%,42.40%,26.10%,8.90%
"Cole, A.J.",2018,32,2,0.0625,48.1,6.14,41.20%,32.10%,26.70%,10.00%
"Bielak, Brandon",2021,28,2,0.07142857143,50,4.5,41.10%,43.80%,21.10%,9.60%
"Lambert, Jimmy",2022,42,2,0.04761904762,47,3.26,40.90%,36.10%,22.10%,11.80%
"Suter, Brent",2023,57,2,0.0350877193,69.1,3.38,40.90%,46.50%,18.80%,8.60%
"Parker, Blake",2019,60,2,0.03333333333,61.1,4.55,40.60%,38.30%,25.50%,8.60%
"Young, Alex",2021,40,2,0.05,52,6.58,40.60%,44.40%,17.50%,11.00%
"Wood, Hunter",2019,36,2,0.05555555556,45.1,2.98,40.40%,32.10%,20.00%,6.20%
"Richards, Garrett",2022,32,2,0.0625,42.2,5.27,40.40%,52.60%,19.50%,7.00%
"Pruitt, Austin",2019,14,2,0.1428571429,47,4.4,40.20%,52.20%,20.20%,6.20%
"Nelson, Nick",2022,47,2,0.04255319149,68.2,4.85,40.20%,39.80%,22.50%,11.80%
"Zimmer, Kyle",2021,52,2,0.03846153846,54,4.83,40.10%,52.40%,20.60%,13.50%
"Mayers, Mike",2021,72,2,0.02777777778,75,3.84,40.00%,37.00%,28.60%,8.30%
"Clarke, Taylor",2023,58,2,0.03448275862,59,5.95,39.70%,31.00%,24.40%,9.00%
"García, Luis",2019,64,2,0.03125,62,4.35,39.40%,47.20%,20.50%,11.90%
"Cruz, Fernando",2023,58,2,0.03448275862,66,4.91,39.30%,31.50%,35.10%,10.00%
"Funkhouser, Kyle",2021,57,2,0.0350877193,68.1,3.42,39.20%,53.20%,21.10%,12.80%
"Castro, Miguel",2021,69,2,0.02898550725,70.1,3.45,38.90%,52.30%,25.40%,14.20%
"Cuas, Jose",2023,72,2,0.02777777778,65.1,3.99,38.40%,46.10%,24.30%,12.00%
"Santana, Ervin",2021,38,2,0.05263157895,65.1,4.68,38.30%,35.70%,18.80%,7.90%
"Graterol, Brusdar",2022,46,1,0.02173913043,49.2,3.26,49.80%,63.10%,21.80%,5.10%
"Hudson, Daniel",2018,40,1,0.025,46,4.11,49.40%,37.20%,22.30%,9.10%
"Akin, Keegan",2022,45,1,0.02222222222,81.2,3.2,47.40%,49.30%,23.40%,6.10%
