Name,Season,G,GS,GS/G,IP,ERA,Zone%,GB%,K%,BB%
"Bleier, Richard",2019,53,1,0.01886792453,55.1,5.37,47.20%,59.90%,12.80%,3.40%
"Bleier, Richard",2022,55,1,0.01818181818,50.2,3.55,47.10%,52.50%,14.40%,4.50%
"Alexander, Tyler",2023,25,1,0.04,44,4.5,47.10%,32.00%,24.30%,2.80%
"Vincent, Nick",2018,62,1,0.01612903226,56.1,3.99,47.00%,30.10%,23.40%,6.30%
"Pagán, Emilio",2023,66,1,0.01515151515,69.1,2.99,46.90%,31.50%,23.80%,7.70%
"Robles, Hansel",2019,71,1,0.01408450704,72.2,2.48,46.80%,38.80%,26.50%,5.70%
"Blach, Ty",2022,24,1,0.04166666667,44.1,5.89,46.60%,43.00%,15.00%,5.70%
"Holland, Derek",2021,39,1,0.02564102564,49.2,5.07,46.50%,45.40%,22.70%,8.90%
"Soria, Joakim",2019,71,1,0.01408450704,69,4.3,46.40%,37.70%,28.40%,7.20%
"Volstad, Chris",2018,33,1,0.0303030303,47.1,6.27,46.30%,55.30%,13.50%,5.60%
"Hudson, Daniel",2019,69,1,0.01449275362,73,2.47,46.00%,37.20%,23.40%,8.90%
"Alvarez, Jose",2021,67,1,0.01492537313,64.2,2.37,45.90%,50.50%,15.80%,7.10%
"Holder, Jonathan",2019,34,1,0.02941176471,41.1,6.31,45.70%,37.70%,25.40%,6.10%
"Graterol, Brusdar",2023,68,1,0.01470588235,67.1,1.2,45.60%,64.40%,18.70%,4.70%
"Vincent, Nick",2019,32,1,0.03125,44.2,4.43,45.50%,36.90%,24.20%,6.20%
"Miller, Shelby",2023,36,1,0.02777777778,42,1.71,45.40%,37.40%,25.80%,11.70%
"Barria, Jaime",2022,35,1,0.02857142857,79.1,2.61,45.10%,40.90%,17.10%,6.00%
"Bender, Anthony",2021,60,1,0.01666666667,61.1,2.79,44.90%,49.70%,28.70%,8.10%
"Johnson, Jim",2018,62,1,0.01612903226,63.1,3.84,44.80%,49.00%,16.80%,8.20%
"Smith, Drew",2021,31,1,0.03225806452,41.1,2.4,44.60%,34.30%,24.80%,9.70%
"Castro, Miguel",2018,63,1,0.01587301587,86.1,3.96,44.40%,49.00%,15.20%,13.30%
"Alvarez, Jose",2019,67,1,0.01492537313,59,3.36,44.30%,49.20%,20.00%,7.10%
"Grace, Matt",2019,51,1,0.01960784314,46.2,6.36,44.30%,48.70%,17.00%,4.90%
"Vesia, Alex",2023,56,1,0.01785714286,49.2,4.35,44.20%,29.50%,29.50%,7.80%
"Holton, Tyler",2023,59,1,0.01694915254,85.1,2.11,44.00%,45.60%,22.80%,5.60%
"Moll, Sam",2023,70,1,0.01428571429,62.1,3.03,44.00%,51.20%,25.40%,11.20%
"Axford, John",2018,50,1,0.02,54.2,5.27,43.90%,54.60%,23.20%,9.40%
"Trivino, Lou",2018,69,1,0.01449275362,74,2.92,43.80%,46.70%,27.40%,10.40%
"Stephens, Jackson",2022,39,1,0.02564102564,53.2,3.69,43.80%,46.30%,20.00%,9.80%
"Murfee, Penn",2022,64,1,0.015625,69.1,2.99,43.70%,34.30%,27.90%,6.60%
"Long, Sam",2023,40,1,0.025,45,5.6,43.70%,42.70%,16.10%,10.60%
"Morgan, Eli",2022,50,1,0.02,66.2,3.38,43.50%,30.40%,28.10%,5.10%
"VerHagen, Drew",2018,41,1,0.0243902439,56.1,4.63,43.40%,47.80%,22.70%,8.20%
"James, Josh",2019,49,1,0.02040816327,61.1,4.7,43.30%,34.60%,37.60%,13.20%
"Wittgren, Nick",2021,60,1,0.01666666667,62.1,5.05,43.30%,45.50%,23.60%,6.60%
"Swanson, Erik",2022,57,1,0.01754385965,53.2,1.68,43.20%,32.50%,34.00%,4.90%
"Englert, Mason",2023,31,1,0.03225806452,56,5.46,43.20%,37.60%,16.20%,6.70%
"Devenski, Chris",2019,61,1,0.01639344262,69,4.83,43.10%,32.70%,24.20%,7.00%
"Givens, Mychal",2022,59,1,0.01694915254,61.1,3.38,43.00%,42.80%,27.30%,9.60%
"Brogdon, Connor",2021,56,1,0.01785714286,57.2,3.43,42.90%,44.20%,21.30%,7.70%
"Soriano, George",2023,26,1,0.03846153846,52,3.81,42.90%,41.50%,22.80%,10.10%
"Herget, Jimmy",2022,49,1,0.02040816327,69,2.48,42.80%,40.10%,23.70%,5.60%
"Jennings, Dan",2018,72,1,0.01388888889,64.1,3.22,42.80%,56.10%,16.60%,8.50%
"Effross, Scott",2022,60,1,0.01666666667,56.2,2.54,42.70%,44.60%,27.10%,6.60%
"Bass, Anthony",2021,70,1,0.01428571429,61.1,3.82,42.60%,43.70%,22.30%,9.20%
"Perdomo, Luis",2019,47,1,0.02127659574,72,4,42.50%,52.50%,18.60%,6.10%
"Maton, Phil",2021,65,1,0.01538461538,66.2,4.73,42.30%,39.00%,28.60%,10.80%
"Winckowski, Josh",2023,60,1,0.01666666667,84.1,2.88,42.10%,51.20%,22.30%,8.40%
"Gilbreath, Lucas",2021,47,1,0.02127659574,42.2,3.38,42.00%,44.80%,23.80%,12.40%
"Feliz, Michael",2019,58,1,0.01724137931,56.1,3.99,42.00%,34.30%,30.50%,11.30%
"Suter, Brent",2021,61,1,0.01639344262,73.1,3.07,41.90%,52.60%,22.00%,7.70%
"Peacock, Brad",2018,61,1,0.01639344262,65,3.46,41.90%,37.50%,35.30%,7.40%
"Clippard, Tyler",2018,73,1,0.01369863014,68.2,3.67,41.90%,19.20%,29.80%,8.10%
"Smith, Caleb",2022,44,1,0.02272727273,70,4.11,41.80%,30.90%,21.50%,12.90%
"McGough, Scott",2023,63,1,0.01587301587,70.1,4.73,41.80%,48.60%,28.60%,10.00%
"Wingenter, Trey",2019,51,1,0.01960784314,51,5.65,41.80%,35.70%,33.00%,12.80%
"Devenski, Chris",2018,50,1,0.02,47.1,4.18,41.60%,33.90%,26.00%,6.60%
"Blevins, Jerry",2018,64,1,0.015625,42.2,4.85,41.60%,21.80%,21.80%,11.70%
"Woodford, Jake",2022,27,1,0.03703703704,48.1,2.23,41.50%,52.00%,12.80%,5.90%
"Davidson, Tucker",2023,38,1,0.02631578947,51.1,5.96,41.30%,44.20%,19.50%,8.10%
"Payamps, Joel",2021,37,1,0.02702702703,50.1,3.4,41.20%,44.40%,18.50%,6.80%
"Chacín, Jhoulys",2021,46,1,0.02173913043,64.1,4.34,41.20%,46.10%,17.50%,10.40%
"Rondón, Héctor",2019,62,1,0.01612903226,60.2,3.71,41.10%,50.00%,18.70%,7.80%
"Chavez, Jesse",2022,60,1,0.01666666667,69.1,3.76,41.10%,38.80%,25.30%,6.80%
"Ruiz, José",2019,40,1,0.025,40,5.63,41.00%,37.30%,17.70%,12.10%
"Crismatt, Nabil",2022,50,1,0.02,67.1,2.94,40.90%,50.50%,23.20%,7.90%
"Holder, Jonathan",2018,60,1,0.01666666667,66,3.14,40.90%,29.30%,22.10%,7.00%
"Fry, Jace",2018,59,1,0.01694915254,51.1,4.38,40.90%,45.40%,32.70%,9.30%
"Fulmer, Michael",2023,58,1,0.01724137931,57,4.42,40.90%,38.70%,27.40%,11.80%
"Tomlin, Josh",2019,51,1,0.01960784314,79.1,3.74,40.80%,33.50%,15.90%,2.20%
"Erlin, Robbie",2019,37,1,0.02702702703,55.1,5.37,40.80%,44.80%,20.70%,6.00%
"Cortes, Nestor",2019,33,1,0.0303030303,66.2,5.67,40.80%,34.20%,23.20%,9.40%
"Beeks, Jalen",2018,14,1,0.07142857143,50.2,5.51,40.60%,47.40%,18.80%,10.80%
"Alexander, Scott",2018,73,1,0.01369863014,66,3.68,40.50%,70.90%,20.90%,10.10%
"Ramirez, Noé",2018,69,1,0.01449275362,83.1,4.54,40.50%,43.40%,26.90%,8.50%
"Farmer, Buck",2018,66,1,0.01515151515,69.1,4.15,40.40%,40.40%,18.50%,13.30%
"Underwood Jr., Duane",2022,51,1,0.01960784314,57.1,4.4,40.30%,48.50%,22.00%,9.70%
"Claudio, Alex",2018,66,1,0.01515151515,68.1,4.48,40.10%,60.90%,13.70%,4.30%
"Farmer, Buck",2019,73,1,0.01369863014,67.2,3.72,39.90%,47.30%,25.30%,8.30%
"Bradley, Archie",2019,66,1,0.01515151515,71.2,3.52,39.80%,45.20%,27.40%,11.40%
"Wilson, Steven",2022,50,1,0.02,53,3.06,39.70%,23.50%,24.80%,9.30%
"López, Reynaldo",2022,61,1,0.01639344262,65.1,2.76,39.50%,38.70%,24.80%,4.30%
"Wantz, Andrew",2022,42,1,0.02380952381,50.1,3.22,39.50%,29.70%,25.50%,10.30%
"Martínez, Adrián",2023,22,1,0.04545454545,55,4.75,39.40%,38.20%,19.50%,7.90%
"Voth, Austin",2021,49,1,0.02040816327,57.1,5.34,39.40%,37.80%,23.80%,11.30%
"Covey, Dylan",2023,29,1,0.03448275862,43,3.77,39.20%,54.30%,15.70%,8.90%
"McHugh, Collin",2023,41,1,0.0243902439,58.2,4.3,39.10%,43.90%,17.50%,8.20%
"Sadler, Casey",2019,33,1,0.0303030303,46.1,2.14,38.90%,51.80%,16.00%,6.70%
"Stammen, Craig",2022,33,1,0.0303030303,40.2,4.43,38.50%,50.80%,19.80%,5.60%
"Ruiz, José",2023,38,1,0.02631578947,44.1,5.89,38.50%,39.00%,18.80%,10.10%
"Guerra, Junior",2021,41,1,0.0243902439,65.1,6.06,38.40%,46.70%,19.90%,15.00%
"Hoffman, Jeff",2022,35,1,0.02857142857,44.2,3.83,38.00%,28.60%,22.80%,11.70%
"Taylor, Josh",2019,52,1,0.01923076923,47.1,3.04,37.60%,44.20%,32.00%,8.20%
"Stratton, Chris",2022,60,1,0.01666666667,63.1,4.26,37.60%,44.20%,21.50%,9.00%
"Luetge, Lucas",2021,57,1,0.01754385965,72.1,2.74,37.20%,42.20%,25.90%,5.00%
"Howard, Sam",2021,54,1,0.01851851852,45,5.6,37.20%,40.80%,30.20%,16.10%
"Martin, Brett",2022,55,1,0.01818181818,50,4.14,36.70%,50.70%,18.90%,8.50%
"Pruitt, Austin",2022,39,1,0.02564102564,55.1,4.23,36.60%,45.50%,17.00%,4.00%
"Crowe, Wil",2022,60,1,0.01666666667,76,4.38,36.60%,49.80%,20.50%,11.40%
"Phelps, David",2022,65,1,0.01538461538,63.2,2.83,36.50%,35.50%,23.50%,11.40%
"Plutko, Adam",2021,38,1,0.02631578947,56.1,6.71,36.30%,30.00%,17.30%,10.60%
"Santana, Dennis",2022,63,1,0.01587301587,58.2,5.22,35.60%,48.20%,21.20%,11.00%
"Toussaint, Touki",2019,24,1,0.04166666667,41.2,5.62,34.90%,44.10%,22.70%,13.10%
"Bellatti, Andrew",2022,59,1,0.01694915254,54.1,3.31,34.70%,27.40%,33.90%,10.90%
"Peralta, Wandy",2021,56,1,0.01785714286,51,3.35,34.70%,57.90%,19.60%,9.60%
"McGee, Jake",2021,62,0,0,59.2,2.72,51.60%,35.90%,24.30%,4.20%
"Cimber, Adam",2018,70,0,0,68.1,3.42,51.40%,57.20%,20.40%,6.00%
"Bleier, Richard",2021,68,0,0,58,2.95,50.80%,65.50%,19.60%,2.70%
"Grace, Matt",2018,56,0,0,59.2,2.87,50.70%,48.40%,19.40%,5.30%
"Vázquez, Felipe",2019,56,0,0,60,1.65,50.20%,42.20%,38.10%,5.50%
"Price, David",2022,40,0,0,40.1,2.45,49.80%,55.80%,22.20%,5.40%
"Guerra, Javy",2019,51,0,0,67.2,4.66,49.80%,33.50%,19.90%,5.90%
"Vázquez, Felipe",2018,70,0,0,70,2.7,49.70%,42.80%,30.10%,8.10%
"Suero, Wander",2018,40,0,0,47.2,3.59,49.70%,34.10%,23.50%,7.50%
"McAllister, Zach",2018,44,0,0,45,6.2,49.70%,41.00%,19.60%,5.00%
"García, Jarlín",2021,58,0,0,68.2,2.62,49.60%,40.40%,25.30%,6.70%
"Martin, Chris",2021,46,0,0,43.1,3.95,49.50%,48.90%,18.20%,3.30%
"Givens, Mychal",2018,69,0,0,76.2,3.99,49.50%,36.50%,24.90%,9.50%
"Estévez, Carlos",2019,71,0,0,72,3.75,49.40%,38.10%,26.30%,7.50%
"Martin, Chris",2023,55,0,0,51.1,1.05,49.20%,51.00%,23.10%,4.00%
"Rogers, Tyler",2021,80,0,0,81,2.22,49.20%,57.60%,16.90%,4.00%
"Bickford, Phil",2021,57,0,0,51.1,2.81,49.00%,46.80%,28.50%,9.20%
"Hill, Tim",2018,70,0,0,45.2,4.53,49.00%,61.80%,21.20%,7.10%
"Finnegan, Kyle",2023,67,0,0,69.1,3.76,48.90%,47.20%,21.90%,8.30%
"Hill, Tim",2021,78,0,0,59.2,3.62,48.60%,60.60%,22.00%,9.00%
"Puk, A.J.",2023,58,0,0,56.2,3.97,48.60%,44.20%,32.20%,5.40%
"Harper, Ryne",2019,61,0,0,54.1,3.81,48.50%,38.50%,22.20%,4.40%
"Green, Chad",2018,63,0,0,75.2,2.5,48.40%,31.40%,31.50%,5.00%
"Rogers, Taylor",2019,60,0,0,69,2.61,48.40%,50.60%,32.40%,4.00%
"Anderson, Nick",2019,68,0,0,65,3.32,48.30%,28.80%,41.70%,6.80%
"Strahm, Matt",2022,50,0,0,44.2,3.83,48.30%,36.80%,26.90%,8.80%
"Smith, Burch",2021,31,0,0,43.1,5.4,48.20%,36.50%,14.90%,5.90%
"Sewald, Paul",2018,46,0,0,56.1,6.07,48.20%,30.40%,22.90%,9.10%
"Rodríguez, Richard",2018,63,0,0,69.1,2.47,48.10%,37.50%,31.50%,6.80%
"Martin, Chris",2022,60,0,0,56,3.05,48.00%,49.00%,32.90%,2.20%
"Madson, Ryan",2018,58,0,0,52.2,5.47,48.00%,42.60%,23.40%,6.90%
"Biddle, Jesse",2018,60,0,0,63.2,3.11,47.90%,55.60%,25.20%,11.70%
"García, Yimi",2021,62,0,0,57.2,4.21,47.90%,40.00%,25.30%,7.60%
"Fairbanks, Pete",2023,49,0,0,45.1,2.58,47.80%,48.90%,37.00%,10.90%
"Cimber, Adam",2021,72,0,0,71.2,2.26,47.70%,53.80%,17.80%,5.60%
"Kennedy, Ian",2021,55,0,0,56.1,3.2,47.70%,23.30%,27.20%,7.50%
"Martin, Chris",2019,58,0,0,55.2,3.4,47.70%,50.00%,30.10%,2.30%
"Clase, Emmanuel",2023,75,0,0,72.2,3.22,47.60%,55.00%,21.20%,5.30%
"Wilson, Justin",2018,71,0,0,54.2,3.46,47.60%,35.10%,29.20%,14.00%
"Miller, Justin",2018,51,0,0,52.1,3.61,47.60%,33.60%,27.90%,7.90%
"Rogers, Taylor",2018,72,0,0,68.1,2.63,47.50%,44.50%,28.80%,6.20%
"Cimber, Adam",2022,77,0,0,70.2,2.8,47.50%,41.80%,19.80%,4.40%
"Pazos, James",2018,60,0,0,50,2.88,47.50%,45.10%,21.30%,7.10%
"Rodríguez, Richard",2021,64,0,0,64.1,2.94,47.50%,31.00%,16.70%,4.00%
"Finnegan, Kyle",2022,66,0,0,66.2,3.51,47.50%,48.30%,26.10%,8.20%
"Salas, Fernando",2018,41,0,0,40,4.5,47.50%,40.20%,17.60%,7.60%
"Kelley, Shawn",2019,50,0,0,47.1,4.94,47.50%,29.30%,21.00%,5.40%
"Vasquez, Andrew",2023,42,0,0,48.1,3.35,47.40%,46.50%,19.60%,10.50%
"Thornton, Trent",2022,32,0,0,46,4.11,47.40%,34.30%,19.60%,9.00%
"Whitlock, Garrett",2021,46,0,0,73.1,1.96,47.30%,49.70%,27.20%,5.70%
"Bednar, David",2021,61,0,0,60.2,2.23,47.30%,41.40%,32.50%,8.00%
"Kelley, Shawn",2018,54,0,0,49,2.94,47.30%,30.20%,26.30%,5.80%
"Santana, Edgar",2018,69,0,0,66.1,3.26,47.30%,45.80%,19.90%,4.40%
"Nicasio, Juan",2018,46,0,0,42,6,47.30%,36.10%,29.00%,2.70%
"Estévez, Carlos",2021,64,0,0,61.2,4.38,47.10%,43.70%,22.20%,7.80%
"Cosgrove, Tom",2023,54,0,0,51.1,1.75,47.00%,40.70%,21.50%,9.30%
"López, Jorge",2022,67,0,0,71,2.54,47.00%,57.80%,24.20%,10.40%
"Jiménez, Joe",2022,62,0,0,56.2,3.49,47.00%,33.10%,33.30%,5.60%
"Jansen, Kenley",2023,51,0,0,44.2,3.63,47.00%,22.60%,27.70%,9.00%
"Bradley, Archie",2018,76,0,0,71.2,3.64,47.00%,49.20%,25.30%,6.80%
"Foley, Jason",2022,60,0,0,60.1,3.88,47.00%,57.10%,16.80%,4.30%
"Pérez, Oliver",2019,67,0,0,40.2,3.98,47.00%,43.50%,27.70%,6.90%
"Doolittle, Sean",2018,43,0,0,45,1.6,46.90%,32.30%,36.80%,3.70%
"Pagán, Emilio",2019,66,0,0,70,2.31,46.90%,34.00%,36.00%,4.90%
"Jansen, Kenley",2022,65,0,0,64,3.38,46.90%,29.90%,32.70%,8.50%
"Estévez, Carlos",2023,63,0,0,62.1,3.9,46.90%,30.70%,27.80%,11.00%
"McGee, Jake",2018,61,0,0,51.1,6.49,46.90%,40.00%,20.70%,7.00%
"Chen, Wei-Yin",2019,45,0,0,68.1,6.59,46.90%,36.50%,20.50%,5.90%
"Hader, Josh",2018,55,0,0,81.1,2.43,46.80%,28.90%,46.70%,9.80%
"Watson, Tony",2018,72,0,0,66,2.59,46.80%,43.20%,27.60%,5.40%
"Hader, Josh",2019,61,0,0,75.2,2.62,46.80%,22.00%,47.80%,6.90%
"Kelly, Joe",2019,55,0,0,51.1,4.56,46.80%,61.20%,27.40%,9.70%
"Lugo, Seth",2019,61,0,0,80,2.7,46.70%,43.10%,33.10%,5.10%
"Thielbar, Caleb",2021,59,0,0,64,3.23,46.70%,31.70%,28.90%,7.50%
"Hernández, Darwinzon",2021,48,0,0,40,3.38,46.70%,45.60%,29.70%,17.00%
"Robles, Hansel",2018,53,0,0,56,3.7,46.70%,34.60%,24.40%,10.30%
"McGee, Jake",2019,45,0,0,41.1,4.35,46.70%,35.70%,19.40%,6.10%
"Jiménez, Joe",2019,66,0,0,59.2,4.37,46.70%,29.50%,31.90%,8.90%
"Giles, Ken",2018,55,0,0,50.1,4.65,46.70%,44.30%,25.00%,3.30%
"Rogers, Tyler",2023,68,0,0,74,3.04,46.60%,50.50%,19.40%,6.10%
"Kimbrel, Craig",2023,71,0,0,69,3.26,46.60%,33.60%,33.80%,10.10%
"Rogers, Tyler",2022,68,0,0,75.2,3.57,46.50%,56.10%,15.40%,7.20%
"Pagán, Emilio",2018,55,0,0,62,4.35,46.50%,26.90%,24.00%,7.30%
"Sewald, Paul",2023,65,0,0,60.2,3.12,46.40%,32.10%,32.10%,9.60%
"Knebel, Corey",2018,57,0,0,55.1,3.58,46.40%,47.70%,39.50%,9.90%
"Topa, Justin",2023,75,0,0,69,2.61,46.30%,56.70%,21.90%,6.50%
"Guerrero, Tayron",2018,60,0,0,58,5.43,46.30%,44.60%,25.40%,11.20%
"Hill, Tim",2023,48,0,0,44.1,5.48,46.30%,61.20%,12.90%,6.90%
"Jiménez, Joe",2023,59,0,0,56.1,3.04,46.20%,27.90%,30.70%,5.90%
"Familia, Jeurys",2018,70,0,0,72,3.12,46.20%,46.30%,27.50%,9.30%
"Elías, Roenis",2019,48,0,0,50,3.96,46.20%,34.50%,21.80%,8.30%
"Doolittle, Sean",2019,63,0,0,60,4.05,46.20%,25.30%,25.40%,5.80%
"Steckenrider, Drew",2021,62,0,0,67.2,2,46.10%,37.40%,21.70%,6.40%
"Jansen, Kenley",2018,69,0,0,71.2,3.01,46.10%,35.30%,28.40%,5.90%
"Martin, Chris",2018,46,0,0,41.2,4.54,46.10%,40.50%,20.90%,2.80%
"Greene, Shane",2018,66,0,0,63.1,5.12,46.00%,40.70%,23.30%,6.80%
"Loup, Aaron",2023,55,0,0,48.2,6.1,46.00%,46.60%,19.50%,8.70%
"Bummer, Aaron",2019,58,0,0,67.2,2.13,45.90%,72.10%,22.90%,9.20%
"Morgan, Adam",2018,67,0,0,49.1,3.83,45.90%,54.00%,23.40%,10.30%
"Buttrey, Ty",2019,72,0,0,72.1,3.98,45.90%,45.70%,27.20%,7.40%
"Smith, Will",2018,54,0,0,53,2.55,45.80%,41.70%,33.80%,7.10%
"Jax, Griffin",2023,71,0,0,65.1,3.86,45.80%,55.60%,24.80%,6.90%
"Floro, Dylan",2019,50,0,0,46.2,4.24,45.80%,51.10%,20.90%,7.00%
"Gsellman, Robert",2018,68,0,0,80,4.28,45.80%,49.40%,20.30%,8.10%
"Rogers, Taylor",2022,66,0,0,64.1,4.76,45.80%,42.40%,30.70%,6.90%
"Sewald, Paul",2021,62,0,0,64.2,3.06,45.70%,26.10%,39.40%,9.10%
"Rogers, Taylor",2021,40,0,0,40.1,3.35,45.70%,50.00%,35.50%,4.80%
"Thielbar, Caleb",2022,67,0,0,59.1,3.49,45.70%,29.50%,32.70%,7.30%
"Tonkin, Michael",2023,45,0,0,80,4.28,45.70%,38.30%,23.10%,7.10%
"Burke, Brock",2023,53,0,0,59.2,4.37,45.70%,38.60%,20.80%,3.60%
"Doolittle, Sean",2021,56,0,0,49.2,4.53,45.70%,19.00%,23.80%,10.30%
"Chapman, Aroldis",2023,61,0,0,58.1,3.09,45.60%,47.70%,41.40%,14.50%
"Bickford, Phil",2022,60,0,0,61,4.72,45.60%,37.30%,27.10%,5.70%
"Kela, Keone",2018,54,0,0,52,3.29,45.50%,37.30%,31.10%,9.00%
"Jansen, Kenley",2019,62,0,0,63,3.71,45.50%,32.50%,30.40%,6.10%
"Alcala, Jorge",2021,59,0,0,59.2,3.92,45.50%,44.10%,26.60%,5.70%
"Suero, Wander",2019,78,0,0,71.1,4.54,45.50%,40.80%,27.40%,8.80%
"Herrera, Kelvin",2018,48,0,0,44.1,2.44,45.40%,35.60%,20.70%,5.40%
"Harvey, Hunter",2023,57,0,0,60.2,2.82,45.40%,43.40%,28.50%,5.50%
"Santana, Edgar",2021,41,0,0,42.2,3.59,45.40%,49.60%,18.90%,6.90%
"Holmes, Clay",2021,69,0,0,70,3.6,45.40%,68.70%,26.70%,9.90%
"Lawrence, Justin",2023,69,0,0,75,3.72,45.40%,48.50%,23.90%,11.00%
"Steckenrider, Drew",2018,71,0,0,64.2,3.9,45.40%,33.90%,27.20%,9.90%
"Thompson, Mason",2023,51,0,0,54,5.5,45.40%,50.60%,18.30%,9.20%
"Clase, Emmanuel",2022,77,0,0,72.2,1.36,45.30%,63.90%,28.40%,3.70%
"Bard, Daniel",2022,57,0,0,60.1,1.79,45.30%,51.70%,28.20%,10.20%
"Tate, Dillon",2022,67,0,0,73.2,3.05,45.30%,57.40%,20.50%,5.50%
"Green, Chad",2021,67,0,0,83.2,3.12,45.30%,27.30%,31.40%,5.40%
"Gibaut, Ian",2023,74,0,0,75.2,3.33,45.30%,39.90%,21.70%,8.80%
"Brebbia, John",2019,66,0,0,72.2,3.59,45.30%,26.90%,28.60%,8.90%
"Tate, Dillon",2021,62,0,0,67.2,4.39,45.30%,59.70%,17.10%,8.00%
"Reed, Addison",2018,55,0,0,56,4.5,45.30%,31.60%,18.20%,6.20%
"Soto, Gregory",2023,69,0,0,60.1,4.62,45.30%,51.30%,26.00%,8.80%
"Brasier, Ryan",2022,68,0,0,62.1,5.78,45.30%,40.50%,24.30%,4.90%
"Pressly, Ryan",2018,77,0,0,71,2.54,45.20%,51.50%,34.60%,7.50%
"Díaz, Edwin",2018,73,0,0,73.1,1.96,45.10%,44.40%,44.30%,6.10%
"Wittgren, Nick",2019,55,0,0,57.2,2.81,45.10%,38.10%,26.00%,6.50%
"Roe, Chaz",2018,61,0,0,50.1,3.58,45.10%,47.60%,26.10%,7.90%
"Hand, Brad",2021,68,0,0,64.2,3.9,45.10%,39.80%,21.90%,9.40%
"Scott, Tanner",2023,74,0,0,78,2.31,45.00%,50.90%,33.90%,7.80%
"Banks, Tanner",2022,35,0,0,53,3.06,45.00%,46.60%,22.60%,8.30%
"Soto, Gregory",2021,62,0,0,63.2,3.39,45.00%,44.90%,27.50%,14.50%
"Wisler, Matt",2021,48,0,0,48.2,3.7,45.00%,24.80%,31.80%,5.60%
"Hernandez, David",2018,57,0,0,64,2.53,44.90%,32.90%,25.60%,6.70%
"Alzolay, Adbert",2023,58,0,0,64,2.67,44.90%,42.20%,26.50%,5.10%
"Brebbia, John",2018,45,0,0,50.2,3.2,44.90%,32.60%,28.70%,7.70%
"Workman, Brandon",2018,43,0,0,41.1,3.27,44.90%,44.70%,22.20%,9.60%
"Minter, A.J.",2021,61,0,0,52.1,3.78,44.90%,45.00%,25.80%,9.00%
"Cisnero, José",2023,63,0,0,59.1,5.31,44.90%,43.90%,26.20%,9.40%
"López, Jorge",2023,61,0,0,59,5.95,44.90%,47.60%,18.40%,8.30%
"Oberg, Scott",2018,56,0,0,58.2,2.45,44.80%,56.10%,25.00%,5.30%
"Crochet, Garrett",2021,54,0,0,54.1,2.82,44.80%,40.20%,28.30%,11.70%
"Kelly, Joe",2021,48,0,0,44,2.86,44.80%,58.90%,27.50%,8.20%
"Domínguez, Seranthony",2018,53,0,0,58,2.95,44.80%,55.70%,32.00%,9.50%
"Ruiz, José",2021,59,0,0,65,3.05,44.80%,41.80%,23.20%,9.20%
"Kelly, Kevin",2023,57,0,0,67,3.09,44.80%,47.70%,20.30%,5.40%
"Rondón, Héctor",2018,63,0,0,59,3.2,44.80%,45.70%,26.80%,8.00%
"Drake, Oliver",2019,50,0,0,56,3.21,44.80%,52.30%,32.00%,8.70%
"Kennedy, Ian",2019,63,0,0,63.1,3.41,44.80%,44.40%,27.40%,6.40%
"Hill, Tim",2022,55,0,0,48,3.56,44.80%,60.00%,12.60%,7.00%
"Smith, Joe",2018,56,0,0,45.2,3.74,44.80%,44.10%,25.60%,6.70%
"Megill, Trevor",2022,39,0,0,45,4.8,44.80%,45.00%,25.00%,8.70%
"Suero, Wander",2021,45,0,0,42.2,6.33,44.80%,33.10%,23.20%,7.90%
"Jansen, Kenley",2021,69,0,0,69,2.22,44.70%,37.10%,30.90%,12.90%
