Name,Season,G,GS,GS/G,IP,ERA,Zone%,GB%,K%,BB%
"Greene, Shane",2019,65,0,0,62.2,2.3,44.70%,46.40%,25.40%,6.70%
"Ramos, Edubray",2018,52,0,0,42.2,2.32,44.70%,33.30%,24.10%,8.60%
"Hand, Brad",2018,69,0,0,72,2.75,44.70%,45.20%,35.20%,9.30%
"Wells, Tyler",2021,44,0,0,57,4.11,44.70%,21.40%,29.00%,5.40%
"Machado, Andrés",2023,44,0,0,50,5.22,44.70%,42.10%,20.80%,6.30%
"Armstrong, Shawn",2019,55,0,0,58,5.74,44.70%,29.50%,23.20%,10.70%
"Chavez, Jesse",2018,62,0,0,95.1,2.55,44.60%,44.20%,24.40%,4.50%
"Stephenson, Robert",2021,49,0,0,46,3.13,44.60%,38.20%,26.40%,9.10%
"Rodríguez, Richard",2019,72,0,0,65.1,3.72,44.60%,41.80%,22.10%,8.10%
"Wendelken, J.B.",2021,46,0,0,43.2,4.33,44.60%,45.10%,20.10%,11.30%
"Pruitt, Austin",2018,23,0,0,69.2,4.65,44.60%,48.50%,14.40%,5.50%
"Helsley, Ryan",2022,54,0,0,64.2,1.25,44.50%,34.70%,39.30%,8.40%
"Pérez, Cionel",2022,66,0,0,57.2,1.4,44.50%,51.30%,23.50%,9.00%
"García, Jarlín",2019,53,0,0,50.2,3.02,44.50%,46.90%,18.90%,7.80%
"Finnegan, Kyle",2021,68,0,0,66,3.55,44.50%,47.60%,23.10%,11.60%
"Hunter, Tommy",2018,65,0,0,64,3.8,44.50%,52.00%,18.90%,5.60%
"Pallante, Andre",2023,62,0,0,68,4.76,44.50%,77.80%,14.20%,9.90%
"Feliz, Michael",2018,47,0,0,47.2,5.66,44.50%,32.40%,25.30%,10.60%
"Holmes, Clay",2023,66,0,0,63,2.86,44.40%,65.50%,27.10%,8.80%
"De Los Santos, Enyel",2022,50,0,0,53.1,3.04,44.40%,39.80%,28.40%,7.90%
"Boxberger, Brad",2021,71,0,0,64.2,3.34,44.40%,37.40%,31.20%,9.40%
"Gant, John",2019,64,0,0,66.1,3.66,44.40%,46.30%,22.30%,12.60%
"Osich, Josh",2019,57,0,0,67.2,4.66,44.40%,42.30%,22.40%,5.50%
"Alvarado, José",2018,70,0,0,64,2.39,44.30%,55.00%,30.40%,11.00%
"Mantiply, Joe",2022,69,0,0,60,2.85,44.30%,53.50%,25.10%,2.50%
"Soria, Joakim",2018,66,0,0,60.2,3.12,44.30%,35.70%,29.40%,6.30%
"Dyson, Sam",2019,61,0,0,62.1,3.32,44.30%,53.80%,22.10%,5.20%
"García, Yimi",2022,61,0,0,61,3.1,44.20%,39.60%,23.50%,6.50%
"Givens, Mychal",2019,58,0,0,63,4.57,44.20%,37.90%,33.10%,10.00%
"Mayers, Mike",2018,50,0,0,51.2,4.7,44.20%,42.40%,21.70%,6.60%
"Cano, Yennier",2023,72,0,0,72.2,2.11,44.10%,58.00%,23.00%,4.60%
"Iglesias, Raisel",2018,66,0,0,72,2.38,44.10%,38.50%,27.50%,8.60%
"Bradford, Chasen",2018,46,0,0,53.2,3.69,44.10%,46.60%,16.50%,6.10%
"Bedrosian, Cam",2018,71,0,0,64,3.8,44.10%,47.30%,21.00%,9.60%
"Holderman, Colin",2023,58,0,0,56,3.86,44.10%,52.80%,24.20%,8.30%
"Kintzler, Brandon",2018,70,0,0,60.2,4.6,44.10%,49.70%,16.30%,8.40%
"Treinen, Blake",2018,68,0,0,80.1,0.78,44.00%,51.90%,31.70%,6.70%
"Jeffress, Jeremy",2018,73,0,0,76.2,1.29,44.00%,56.40%,29.80%,9.00%
"McHugh, Collin",2018,58,0,0,72.1,1.99,44.00%,34.60%,33.20%,7.40%
"Fields, Josh",2018,45,0,0,41,2.2,44.00%,22.90%,21.40%,7.10%
"Strickland, Hunter",2021,57,0,0,58.2,2.61,44.00%,34.80%,24.00%,9.10%
"De Los Santos, Enyel",2023,70,0,0,65.2,3.29,44.00%,40.40%,23.70%,9.50%
"Hentges, Sam",2023,56,0,0,52.1,3.61,44.00%,58.80%,25.10%,8.10%
"Cisnero, José",2021,67,0,0,61.2,3.65,44.00%,45.70%,23.40%,11.70%
"Misiewicz, Anthony",2021,66,0,0,54.2,4.61,44.00%,42.40%,22.50%,6.40%
"Lawrence, Justin",2022,38,0,0,42.2,5.7,44.00%,50.80%,25.10%,11.50%
"Conley, Adam",2019,60,0,0,60.2,6.53,44.00%,37.90%,18.70%,10.20%
"Crick, Kyle",2018,64,0,0,60.1,2.39,43.90%,39.90%,25.50%,9.00%
"Ottavino, Adam",2018,75,0,0,77.2,2.43,43.90%,43.00%,36.20%,11.70%
"Boxberger, Brad",2022,70,0,0,64,2.95,43.90%,34.30%,25.40%,10.10%
"García, Jarlín",2022,58,0,0,65,3.74,43.90%,39.10%,20.70%,6.70%
"Rogers, Taylor",2023,60,0,0,51.2,3.83,43.90%,41.70%,29.60%,11.60%
"Stanek, Ryne",2023,55,0,0,50.2,4.09,43.90%,30.70%,23.90%,9.90%
"Kelly, Joe",2018,73,0,0,65.2,4.39,43.90%,46.90%,23.90%,11.20%
"Stephan, Trevor",2021,43,0,0,63.1,4.41,43.90%,33.10%,26.60%,11.00%
"Poche, Colin",2019,51,0,0,51.2,4.7,43.90%,18.30%,34.80%,9.20%
"Suarez, Robert",2022,45,0,0,47.2,2.27,43.80%,43.30%,31.90%,11.00%
"Pressly, Ryan",2019,55,0,0,54.1,2.32,43.80%,50.80%,34.10%,5.70%
"Hendriks, Liam",2021,69,0,0,71,2.54,43.80%,32.60%,42.30%,2.60%
"Wilson, Bryse",2023,53,0,0,76.2,2.58,43.80%,37.80%,19.40%,7.00%
"Santos, Gregory",2023,60,0,0,66.1,3.39,43.80%,52.50%,22.80%,5.90%
"Lugo, Seth",2021,46,0,0,46.1,3.5,43.80%,41.50%,28.20%,9.70%
"Robles, Hansel",2021,72,0,0,69,4.43,43.80%,43.20%,25.60%,12.50%
"Andriese, Matt",2019,54,0,0,70.2,4.71,43.80%,50.30%,25.50%,8.70%
"Nicasio, Juan",2019,47,0,0,47.1,4.75,43.80%,45.90%,20.70%,9.70%
"Pearson, Nate",2023,35,0,0,42.2,4.85,43.80%,30.50%,23.60%,9.90%
"Neris, Héctor",2018,53,0,0,47.2,5.1,43.80%,30.80%,37.40%,7.90%
"Drake, Oliver",2018,44,0,0,47.2,5.29,43.80%,44.90%,24.40%,8.10%
"Alvarado, José",2023,42,0,0,41.1,1.74,43.70%,53.90%,37.20%,10.50%
"Chapman, Aroldis",2019,60,0,0,57,2.21,43.70%,42.10%,36.20%,10.60%
"Hand, Brad",2022,55,0,0,45,2.8,43.70%,40.30%,19.20%,11.60%
"Brasier, Ryan",2023,59,0,0,59.2,3.02,43.70%,43.80%,23.50%,8.00%
"Puk, A.J.",2022,62,0,0,66.1,3.12,43.70%,43.40%,27.00%,8.20%
"Diekman, Jake",2023,63,0,0,56.2,3.34,43.70%,46.80%,26.30%,15.60%
"Garrett, Amir",2018,66,0,0,63,4.29,43.70%,38.00%,26.90%,9.50%
"Hand, Brad",2023,60,0,0,53.2,5.53,43.70%,37.10%,25.00%,9.30%
"Phillips, Evan",2022,64,0,0,63,1.14,43.60%,45.60%,33.00%,6.40%
"Clase, Emmanuel",2021,71,0,0,69.2,1.29,43.60%,67.60%,26.50%,5.70%
"Romano, Jordan",2022,63,0,0,64,2.11,43.60%,43.70%,28.30%,8.10%
"Vesia, Alex",2021,41,0,0,40,2.25,43.60%,25.30%,33.50%,13.70%
"Moore, Matt",2023,50,0,0,52.2,2.56,43.60%,35.00%,27.50%,6.90%
"Acevedo, Domingo",2022,70,0,0,67.2,3.33,43.60%,40.80%,21.80%,6.40%
"Lugo, Seth",2022,62,0,0,65,3.6,43.60%,45.60%,25.40%,6.60%
"Rosario, Randy",2018,44,0,0,46.2,3.66,43.60%,52.10%,15.00%,11.00%
"Familia, Jeurys",2021,65,0,0,59.1,3.94,43.60%,51.00%,27.50%,10.30%
"Alvarez, Jose",2018,76,0,0,63,2.71,43.50%,45.00%,22.60%,8.40%
"Martin, Brett",2021,66,0,0,62.1,3.18,43.50%,57.40%,15.90%,5.30%
"Minter, A.J.",2018,65,0,0,61.1,3.23,43.50%,37.40%,26.50%,8.50%
"Bird, Jake",2022,38,0,0,47.2,4.91,43.50%,55.70%,19.90%,10.90%
"Duran, Jhoan",2022,57,0,0,67.2,1.86,43.40%,61.00%,33.50%,6.00%
"Oberg, Scott",2019,49,0,0,56,2.25,43.40%,48.90%,26.00%,10.30%
"Osuna, Roberto",2019,66,0,0,65,2.63,43.40%,38.80%,28.90%,4.70%
"Sewald, Paul",2022,65,0,0,64,2.67,43.40%,30.60%,29.80%,7.00%
"López, Yoan",2019,70,0,0,60.2,3.41,43.40%,43.80%,17.10%,6.90%
"Ramírez, Neil",2018,47,0,0,41.2,4.54,43.40%,34.60%,28.30%,10.00%
"Helsley, Ryan",2021,51,0,0,47.1,4.56,43.40%,42.00%,22.80%,13.10%
"Peralta, Wandy",2018,59,0,0,45.1,5.36,43.40%,48.10%,13.70%,13.70%
"Herrera, Kelvin",2019,57,0,0,51.1,6.14,43.40%,35.70%,22.60%,9.80%
"Nardi, Andrew",2023,63,0,0,57.1,2.67,43.30%,43.80%,30.80%,8.90%
"Betances, Dellin",2018,66,0,0,66.2,2.7,43.30%,43.90%,42.30%,9.60%
"García, Yimi",2019,64,0,0,62.1,3.61,43.30%,29.60%,26.70%,5.70%
"Underwood Jr., Duane",2021,43,0,0,72.2,4.33,43.30%,43.50%,20.30%,8.40%
"Kinley, Tyler",2021,70,0,0,70.1,4.73,43.30%,38.90%,23.10%,8.80%
"Bard, Daniel",2021,67,0,0,65.2,5.21,43.30%,42.50%,26.30%,11.80%
"Díaz, Edwin",2019,66,0,0,58,5.59,43.30%,36.70%,39.00%,8.70%
"Iglesias, Raisel",2021,65,0,0,70,2.57,43.20%,39.40%,37.70%,4.40%
"Ramirez, Nick",2023,32,0,0,40.2,2.66,43.20%,47.40%,16.30%,5.20%
"Kintzler, Brandon",2019,62,0,0,57,2.68,43.20%,54.70%,21.10%,5.70%
"Colomé, Alex",2018,70,0,0,68,3.04,43.20%,46.20%,25.50%,7.40%
"Fairbanks, Pete",2021,47,0,0,42.2,3.59,43.20%,42.70%,29.60%,11.10%
"Magill, Matt",2018,40,0,0,56.2,3.81,43.20%,34.90%,22.50%,9.20%
"Stratton, Chris",2023,64,0,0,82.2,3.92,43.20%,38.60%,24.00%,7.40%
"Barraclough, Kyle",2018,61,0,0,55.2,4.2,43.20%,45.50%,24.50%,13.90%
"Miller, Andrew",2019,73,0,0,54.2,4.45,43.20%,37.20%,29.70%,11.40%
"Cimber, Adam",2019,68,0,0,56.2,4.45,43.20%,55.90%,16.80%,7.80%
"McCarthy, Kevin",2019,56,0,0,60.1,4.48,43.20%,58.30%,14.20%,7.80%
"Gaviglio, Sam",2019,52,0,0,95.2,4.61,43.20%,47.30%,22.40%,5.60%
"Romano, Jordan",2021,62,0,0,63,2.14,43.10%,46.80%,33.60%,9.90%
"Jiménez, Joe",2018,68,0,0,62.2,4.31,43.10%,35.60%,29.20%,8.20%
"Boxberger, Brad",2018,60,0,0,53.1,4.39,43.10%,46.10%,30.20%,13.60%
"Pagán, Emilio",2021,67,0,0,63.1,4.83,43.10%,22.40%,26.20%,6.80%
"Trivino, Lou",2019,61,0,0,60,5.25,43.10%,45.10%,21.20%,11.50%
"Phillips, Evan",2023,62,0,0,61.1,2.05,43.00%,42.70%,28.20%,5.60%
"Soto, Gregory",2022,64,0,0,60.1,3.28,43.00%,48.10%,22.80%,12.90%
"Pérez, Cionel",2023,65,0,0,53.1,3.54,43.00%,60.70%,17.80%,10.90%
"Baumann, Mike",2023,60,0,0,64.2,3.76,43.00%,42.00%,22.30%,12.10%
"Hernandez, David",2019,47,0,0,42.2,8.02,43.00%,28.10%,26.80%,10.10%
"Duffey, Tyler",2019,58,0,0,57.2,2.5,42.90%,38.10%,34.50%,5.90%
"McCarthy, Kevin",2018,65,0,0,72,3.25,42.90%,64.30%,15.70%,6.80%
"Hicks, Jordan",2018,73,0,0,77.2,3.59,42.90%,60.70%,20.60%,13.30%
"Webb, Tyler",2019,65,0,0,55,3.76,42.90%,41.10%,21.70%,10.40%
"Melancon, Mark",2022,62,0,0,56,4.66,42.90%,44.10%,14.20%,8.50%
"Clarke, Taylor",2021,43,0,0,43.1,4.98,42.90%,36.40%,20.10%,7.20%
"Duran, Jhoan",2023,59,0,0,62.1,2.45,42.80%,65.90%,32.90%,9.80%
"Dyson, Sam",2018,74,0,0,70.1,2.69,42.80%,61.30%,20.50%,7.30%
"May, Trevor",2021,68,0,0,62.2,3.59,42.80%,36.30%,31.20%,9.00%
"Castillo, Diego",2022,59,0,0,54.1,3.64,42.80%,46.20%,23.90%,9.90%
"Cabrera, Génesis",2021,71,0,0,70,3.73,42.80%,42.00%,26.00%,12.20%
"Gott, Trevor",2019,50,0,0,52.2,4.44,42.80%,43.10%,26.60%,7.90%
"Ottavino, Adam",2019,73,0,0,66.1,1.9,42.70%,39.70%,31.10%,14.10%
"Morin, Mike",2019,52,0,0,50.2,4.62,42.70%,40.40%,12.40%,4.80%
"Snead, Kirby",2022,46,0,0,44.2,5.84,42.70%,42.70%,16.70%,10.50%
"Kuhnel, Joel",2022,53,0,0,58,6.36,42.70%,52.20%,22.00%,5.50%
"Gallegos, Giovanny",2019,66,0,0,74,2.31,42.60%,33.50%,33.30%,5.70%
"Hand, Brad",2019,60,0,0,57.1,3.3,42.60%,26.70%,34.70%,7.40%
"Taylor, Josh",2021,61,0,0,47.2,3.4,42.60%,43.40%,28.70%,11.00%
"Kahnle, Tommy",2019,72,0,0,61.1,3.67,42.60%,50.40%,35.50%,8.10%
"Hernandez, Jose",2023,50,0,0,50.2,4.97,42.60%,38.70%,27.80%,9.90%
"Andriese, Matt",2021,34,0,0,48.1,5.21,42.60%,44.40%,22.50%,5.90%
"Hildenberger, Trevor",2018,73,0,0,73,5.42,42.60%,46.30%,21.90%,8.20%
"Adam, Jason",2022,67,0,0,63.1,1.56,42.50%,45.70%,31.60%,7.20%
"Poche, Colin",2023,66,0,0,60.2,2.23,42.50%,34.00%,24.80%,9.80%
"Foley, Jason",2023,70,0,0,69,2.61,42.50%,57.10%,19.90%,5.40%
"Oh, Seunghwan",2018,73,0,0,68.1,2.63,42.50%,30.10%,28.80%,6.20%
"Moll, Sam",2022,53,0,0,43.1,2.91,42.50%,50.00%,24.60%,11.80%
"Buchter, Ryan",2019,64,0,0,45.1,2.98,42.50%,25.20%,25.30%,11.60%
"Hudson, Daniel",2021,54,0,0,51.2,3.31,42.50%,29.70%,35.70%,7.60%
"Barnes, Jacob",2018,49,0,0,48.2,3.33,42.50%,50.00%,21.70%,10.60%
"Chapman, Aroldis",2021,61,0,0,56.1,3.36,42.50%,42.70%,39.90%,15.60%
"Moreta, Dauri",2023,55,0,0,58,3.72,42.50%,39.60%,31.80%,10.00%
"Sandlin, Nick",2023,61,0,0,60,3.75,42.50%,41.00%,27.60%,10.00%
"Shaw, Bryan",2023,38,0,0,45.2,4.14,42.50%,40.20%,21.10%,8.90%
"Stephenson, Robert",2022,58,0,0,58,5.43,42.50%,28.60%,22.30%,5.70%
"Jiménez, Joe",2021,52,0,0,45.1,5.96,42.50%,33.90%,27.10%,16.70%
"Stammen, Craig",2018,73,0,0,79,2.73,42.40%,49.30%,27.80%,5.40%
"Cotton, Jharel",2022,30,0,0,43,3.56,42.40%,29.40%,21.50%,11.00%
"Wick, Rowan",2022,64,0,0,64,4.22,42.40%,44.30%,23.50%,9.90%
"Bard, Daniel",2023,50,0,0,49.1,4.56,42.40%,36.70%,20.30%,21.10%
"Abreu, Bryan",2023,72,0,0,72,1.75,42.30%,37.10%,34.80%,10.80%
"May, Trevor",2019,65,0,0,64.1,2.94,42.30%,33.80%,29.70%,9.80%
"García, Luis",2022,64,0,0,61,3.39,42.30%,53.30%,26.30%,6.60%
"Valdez, César",2021,39,0,0,46,5.87,42.30%,48.00%,21.40%,6.70%
"Hentges, Sam",2022,57,0,0,62,2.32,42.20%,61.50%,29.40%,7.80%
"Moronta, Reyes",2018,69,0,0,65,2.49,42.20%,42.10%,30.20%,14.10%
"Sulser, Cole",2021,60,0,0,63.1,2.7,42.20%,41.30%,28.40%,8.90%
"Báez, Pedro",2018,55,0,0,56.1,2.88,42.20%,34.70%,26.20%,9.70%
"Petit, Yusmeiro",2018,74,0,0,93,3,42.20%,35.80%,20.70%,4.90%
"Rodney, Fernando",2018,68,0,0,64.1,3.36,42.20%,44.40%,24.60%,11.20%
"Neris, Héctor",2022,70,0,0,65.1,3.72,42.20%,34.60%,30.00%,6.50%
"Vesia, Alex",2022,63,0,0,54.1,2.15,42.10%,35.00%,34.80%,10.60%
"Loáisiga, Jonathan",2021,57,0,0,70.2,2.17,42.10%,60.90%,24.40%,5.70%
"Pressly, Ryan",2021,64,0,0,64,2.25,42.10%,55.50%,32.40%,5.20%
"Hicks, Jordan",2023,65,0,0,65.2,3.29,42.10%,58.30%,28.40%,11.20%
"Webb, Jacob",2023,54,0,0,53.2,3.69,42.10%,37.10%,24.60%,12.90%
"Roe, Chaz",2019,71,0,0,51,4.06,42.10%,44.60%,28.40%,13.50%
"Arano, Víctor",2018,60,0,0,59.1,2.73,42.00%,38.80%,24.40%,6.90%
"Magill, Matt",2019,50,0,0,50.2,4.09,42.00%,37.90%,27.90%,8.70%
"Castro, Miguel",2023,75,0,0,64.2,4.31,42.00%,43.80%,22.40%,9.30%
"Diekman, Jake",2019,76,0,0,62,4.65,42.00%,47.30%,29.80%,13.80%
"Littell, Zack",2022,39,0,0,44.1,5.08,42.00%,43.40%,20.50%,6.80%
"Floro, Dylan",2021,68,0,0,64,2.81,41.90%,49.20%,23.00%,9.30%
"Staumont, Josh",2021,64,0,0,65.2,2.88,41.90%,38.00%,27.30%,10.20%
"Minaya, Juan",2018,52,0,0,46.2,3.28,41.90%,40.70%,27.80%,13.90%
"VerHagen, Drew",2023,60,0,0,61,3.98,41.90%,42.20%,22.40%,9.70%
"King, John",2022,39,0,0,51.1,4.03,41.90%,64.60%,13.50%,6.30%
"Hembree, Heath",2018,67,0,0,60,4.2,41.90%,39.40%,29.20%,10.40%
"Heuer, Codi",2021,65,0,0,67.1,4.28,41.90%,43.60%,19.90%,8.20%
"Petricka, Jake",2018,41,0,0,45.2,4.53,41.90%,51.00%,19.70%,7.70%
"Hoffman, Jeff",2023,54,0,0,52.1,2.41,41.80%,42.60%,33.20%,9.10%
"Chapman, Aroldis",2018,55,0,0,51.1,2.45,41.80%,44.00%,43.90%,14.20%
"Matzek, Tyler",2021,69,0,0,63,2.57,41.80%,40.10%,29.20%,14.00%
"Bednar, David",2022,45,0,0,51.2,2.61,41.80%,33.30%,32.90%,7.60%
"Adam, Jason",2023,56,0,0,54.1,2.98,41.80%,41.50%,31.10%,9.00%
"López, Reynaldo",2023,68,0,0,66,3.27,41.80%,39.20%,29.90%,12.20%
"Bummer, Aaron",2021,62,0,0,56.1,3.51,41.80%,76.10%,31.00%,12.00%
"Minter, A.J.",2023,70,0,0,64.2,3.76,41.80%,35.10%,31.50%,8.10%
"Strickland, Hunter",2018,49,0,0,45.1,3.97,41.80%,38.10%,18.40%,10.40%
"Jeffress, Jeremy",2019,48,0,0,52,5.02,41.80%,48.40%,20.40%,7.60%
"Ramirez, Noé",2022,55,0,0,50,5.22,41.80%,37.90%,23.70%,12.10%
"Clay, Sam",2021,58,0,0,45,5.6,41.80%,60.10%,15.90%,10.30%
"Giles, Ken",2019,53,0,0,53,1.87,41.70%,39.30%,39.90%,8.20%
"Bautista, Félix",2022,65,0,0,65.2,2.19,41.70%,42.90%,34.80%,9.10%
"Cessa, Luis",2021,53,0,0,64.2,2.51,41.70%,51.10%,20.70%,7.30%
"Stephan, Trevor",2022,66,0,0,63.2,2.69,41.70%,48.10%,30.70%,6.70%
"Iglesias, Raisel",2023,58,0,0,55.2,2.75,41.70%,42.90%,29.40%,6.50%
"Petit, Yusmeiro",2021,78,0,0,78,3.92,41.70%,37.10%,11.80%,3.80%
"Iglesias, Raisel",2019,68,0,0,67,4.16,41.70%,29.90%,31.90%,7.50%
"Foster, Matt",2022,48,0,0,45,4.4,41.70%,31.10%,21.80%,8.80%
"Gsellman, Robert",2019,52,0,0,63.2,4.66,41.70%,44.30%,21.70%,8.30%
"Allen, Cody",2018,70,0,0,67,4.7,41.70%,30.00%,27.70%,11.40%
"Brach, Brad",2019,58,0,0,54.1,5.47,41.70%,39.20%,24.80%,12.80%
"Ottavino, Adam",2022,66,0,0,65.2,2.06,41.60%,51.90%,30.60%,6.20%
"Jax, Griffin",2022,65,0,0,72.1,3.36,41.60%,47.30%,26.90%,6.90%
"Brentz, Jake",2021,72,0,0,64,3.66,41.60%,49.00%,27.30%,13.30%
"Domínguez, Seranthony",2023,57,0,0,50,3.78,41.60%,42.50%,21.40%,9.80%
"Conley, Adam",2018,52,0,0,50.2,4.09,41.60%,44.30%,24.80%,8.90%
"Gott, Trevor",2023,64,0,0,58,4.19,41.60%,40.20%,23.80%,7.30%
"Raley, Brooks",2021,58,0,0,49,4.78,41.60%,45.30%,31.70%,7.80%
"Shaw, Bryan",2019,70,0,0,72,5.38,41.60%,48.80%,18.60%,9.30%
"Rusin, Chris",2018,49,0,0,54.2,6.09,41.60%,56.20%,19.50%,10.80%
"Moore, Matt",2022,63,0,0,74,1.95,41.50%,43.90%,27.30%,12.50%
"Burke, Brock",2022,52,0,0,82.1,1.97,41.50%,39.60%,27.40%,7.30%
"Guerra, Junior",2019,72,0,0,83.2,3.55,41.50%,43.40%,22.40%,10.50%
"Wilson, Steven",2023,52,0,0,53,3.91,41.50%,25.80%,26.00%,12.30%
"Watson, Tony",2019,60,0,0,54,4.17,41.50%,43.90%,17.70%,5.20%
"Abreu, Albert",2023,45,0,0,59,4.73,41.50%,46.10%,22.80%,13.10%
"Otero, Dan",2018,61,0,0,58.2,5.22,41.50%,58.70%,17.40%,2.00%
"Lee, Dylan",2022,46,0,0,50.2,2.13,41.40%,35.40%,29.40%,5.00%
"Muñoz, Andrés",2023,52,0,0,49,2.94,41.40%,59.00%,31.80%,10.40%
"Norris, Bud",2018,64,0,0,57.2,3.59,41.40%,42.60%,27.30%,8.60%
"Kimbrel, Craig",2022,63,0,0,60,3.75,41.40%,39.70%,27.70%,10.80%
"Poche, Colin",2022,65,0,0,58.2,3.99,41.40%,31.80%,26.10%,9.00%
"Alvarado, José",2021,64,0,0,55.2,4.2,41.40%,57.40%,27.10%,18.70%
"Crick, Kyle",2019,52,0,0,49,4.96,41.40%,43.70%,27.00%,15.50%
"Sborz, Josh",2023,44,0,0,52.1,5.5,41.40%,46.90%,30.70%,7.90%
"Bass, Anthony",2022,73,0,0,70.1,1.54,41.30%,41.20%,26.50%,7.30%
"Neris, Héctor",2023,71,0,0,68.1,1.71,41.30%,31.80%,28.20%,11.40%
"Minter, A.J.",2022,75,0,0,70,2.06,41.30%,38.50%,34.70%,5.50%
"Pressly, Ryan",2023,65,0,0,65.1,3.58,41.30%,54.80%,27.60%,6.00%
"Cabrera, Génesis",2023,61,0,0,55.2,4.04,41.30%,38.30%,24.30%,10.00%
"Karinchak, James",2021,60,0,0,55.1,4.07,41.30%,39.30%,33.20%,13.60%
"Díaz, Jairo",2019,56,0,0,57.2,4.53,41.30%,49.40%,25.70%,7.80%
"Brasier, Ryan",2019,62,0,0,55.2,4.85,41.30%,31.80%,25.30%,8.70%
"Garrett, Amir",2021,63,0,0,47.2,6.04,41.30%,50.80%,28.40%,13.50%
"Chacín, Jhoulys",2022,35,0,0,47.1,7.61,41.30%,39.20%,16.90%,9.60%
"Yates, Kirby",2018,65,0,0,63,2.14,41.20%,42.80%,36.00%,6.80%
"Colomé, Alex",2019,62,0,0,61,2.8,41.20%,45.20%,22.10%,9.20%
"Goody, Nick",2019,39,0,0,40.2,3.54,41.20%,25.70%,28.90%,12.70%
"Barnes, Matt",2018,62,0,0,61.2,3.65,41.20%,53.00%,36.20%,11.70%
"Gearrin, Cory",2018,62,0,0,57.1,3.77,41.20%,41.50%,21.40%,8.50%
"García, Luis",2023,61,0,0,59.2,4.07,41.20%,61.50%,19.90%,9.00%
"Festa, Matt",2022,53,0,0,54,4.17,41.20%,38.60%,29.20%,8.20%
"Butler, Eddie",2018,30,0,0,49.2,5.62,41.20%,51.70%,12.70%,8.30%
"Davis, Wade",2021,40,0,0,42.2,6.75,41.20%,34.90%,20.00%,10.00%
"Leclerc, José",2018,59,0,0,57.2,1.56,41.10%,32.10%,38.10%,11.20%
"Bednar, David",2023,66,0,0,67.1,2,41.10%,39.40%,28.90%,7.60%
"Romano, Jordan",2023,59,0,0,59,2.9,41.10%,36.50%,29.00%,9.70%
"Floro, Dylan",2022,56,0,0,53.2,3.02,41.10%,45.20%,21.80%,6.80%
"May, Trevor",2023,49,0,0,46.2,3.28,41.10%,30.80%,19.50%,14.10%
"Brice, Austin",2019,36,0,0,44.2,3.43,41.10%,42.20%,23.10%,9.00%
"Hardy, Blaine",2019,39,0,0,44.1,4.47,41.10%,48.50%,15.90%,7.10%
"Montero, Rafael",2021,44,0,0,49.1,6.39,41.10%,55.10%,18.70%,7.60%
"Trivino, Lou",2021,71,0,0,73.2,3.18,41.00%,48.00%,21.60%,11.00%
"Brogdon, Connor",2022,47,0,0,44,3.27,41.00%,31.10%,26.60%,5.90%
"Merryweather, Julian",2023,69,0,0,72,3.38,41.00%,40.70%,32.30%,11.90%
"Díaz, Edwin",2021,63,0,0,62.2,3.45,41.00%,34.10%,34.60%,8.90%
"Patton, Spencer",2021,42,0,0,42.1,3.83,41.00%,41.30%,27.90%,8.70%
"Loup, Aaron",2022,65,0,0,58.2,3.84,41.00%,49.70%,20.00%,8.50%
"Ottavino, Adam",2021,69,0,0,62,4.21,41.00%,40.00%,25.70%,12.70%
"Guerrero, Tayron",2019,52,0,0,46,6.26,41.00%,44.30%,19.90%,16.70%
"Cishek, Steve",2018,80,0,0,70.1,2.18,40.90%,47.30%,27.10%,9.70%
"Payamps, Joel",2023,69,0,0,70.2,2.55,40.90%,45.90%,26.80%,5.90%
"Martinez, Carlos",2019,48,0,0,48.1,3.17,40.90%,56.50%,26.50%,9.00%
"Liriano, Francisco",2019,69,0,0,70,3.47,40.90%,50.30%,20.90%,11.60%
"Speier, Gabe",2023,69,0,0,54.2,3.79,40.90%,55.90%,29.60%,5.10%
"Barnes, Matt",2021,60,0,0,54.2,3.79,40.90%,41.70%,37.80%,9.00%
